minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
1,12,232,1,0,110
1,5,349,0,0,105
2,5,361,0,0,80
1,9,318,1,0,100
1,6,365,2,0,99
2,327,333,1,1,201
6,8,307,2,0,45
2,327,317,1,1,244
2,327,317,1,1,228
2,5,0,0,0,60
1,5,62,0,0,54
7,47,358,1,0,50
1,7,331,1,0,324
1,8,318,2,0,159
2,327,304,1,1,214
6,5,253,2,0,55
2,6,355,2,0,65
1,8,319,2,0,99
2,6,87,0,1,75
1,8,189,2,0,30
4,5,188,1,0,1500
1,6,62,2,0,55
7,8,261,2,1,107
2,5,347,0,1,125
3,6,1,1,0,200
1,10,136,2,0,68
2,327,260,1,1,252
1,10,357,2,0,89
1,17,182,1,1,137
1,6,345,1,0,299
1,6,24,1,2,69
1,18,90,2,0,93
7,13,365,1,0,169
14,6,343,0,0,120
14,28,318,1,2,35
2,6,160,0,0,80
1,7,72,1,2,45
1,17,363,0,0,129
7,47,328,1,0,62
7,9,151,0,0,40
3,12,359,2,2,30
2,5,163,2,1,134
2,327,327,1,1,229
1,12,65,0,0,62
15,14,0,0,2,30
1,11,365,0,1,8000
2,7,169,0,0,77
1,12,217,1,0,115
5,7,365,2,2,34
1,5,365,0,2,50
1,8,275,2,0,129
1,7,69,0,0,45
1,9,245,1,0,100
1,11,177,1,0,425
1,5,270,0,1,189
1,7,14,0,0,300
1,5,57,4,0,142
1,9,229,2,0,55
