minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_group,room_type,price
2,5,348,3,0,55
3,10,78,4,0,79
2,11,192,1,1,276
1,8,297,2,0,89
1,8,316,2,0,149
15,14,0,0,2,30
2,6,75,2,0,40
7,9,131,0,0,35
1,7,79,2,0,55
2,6,0,1,0,90
3,7,23,2,1,150
6,7,322,2,1,138
2,327,159,1,1,254
3,49,206,1,1,699
1,7,0,1,0,100
1,5,359,2,0,59
3,9,332,2,0,69
1,10,10,1,0,250
5,12,0,0,2,20
1,5,150,2,1,80
1,8,177,0,0,60
7,13,98,0,0,42
1,17,342,0,0,139
2,5,112,0,0,69
1,33,365,0,0,99
2,5,145,0,0,29
2,6,243,2,1,500
1,8,34,2,2,39
1,5,157,1,0,152
3,28,56,0,1,199
1,8,298,2,0,89
7,10,311,0,2,50
7,47,365,1,0,120
3,10,333,0,0,50
1,6,365,0,0,149
3,6,130,1,0,136
1,5,88,2,0,70
1,7,83,4,2,28
9,8,135,0,0,54
2,9,112,1,0,69
2,5,301,2,0,50
2,5,330,0,0,87
1,9,269,1,0,100
1,34,360,0,2,38
4,5,332,2,2,35
1,7,264,0,0,70
1,5,85,2,0,55
2,5,47,0,0,95
1,5,310,1,0,999
3,5,96,2,0,49
4,5,0,0,0,75
3,5,308,0,1,151
3,5,18,1,0,79
2,9,335,1,0,125
1,18,309,2,0,135
1,30,165,1,0,179
1,7,68,0,0,69
3,13,0,0,0,189
1,15,232,1,0,100
3,6,249,1,1,750
1,5,0,1,0,98
3,12,96,2,0,40
1,6,126,2,0,65
2,327,323,1,1,396
7,47,324,1,0,62
3,5,86,0,1,85
2,5,22,1,0,80
1,6,161,1,0,70
1,8,146,0,0,43
2,10,335,2,0,100
1,12,251,1,0,110
1,6,0,1,0,80
1,8,341,2,0,35
4,7,149,0,0,65
1,6,171,2,0,60
1,5,150,0,0,30
1,5,119,2,0,65
1,5,166,0,0,51
1,5,0,2,0,50
3,6,90,1,0,85
7,13,365,1,0,169
1,5,0,0,0,48
2,5,324,0,0,60
14,28,322,1,2,35
1,9,298,1,1,790
2,327,83,1,1,265
1,8,236,0,0,119
8,6,54,1,0,40
3,34,332,0,2,40
1,5,46,2,0,49
1,6,361,2,0,120
2,5,342,0,1,125
1,7,50,1,0,150
1,14,351,1,0,425
1,14,53,0,1,300
1,17,85,0,2,24
2,9,365,1,2,69
7,47,271,1,0,100
1,5,166,2,0,45
3,12,365,1,0,599
3,5,285,0,0,46
14,28,201,1,2,35
1,9,299,1,0,100
1,6,153,0,0,99
1,10,360,1,0,300
1,6,41,1,0,109
8,5,284,0,0,40
1,10,281,1,0,250
1,18,319,2,0,135
1,6,365,2,0,69
3,8,255,1,0,90
1,5,153,0,0,35
2,5,342,2,0,32
2,5,343,0,0,40
2,11,163,1,0,233
1,12,241,1,0,105
15,5,343,0,0,36
2,5,358,0,0,100
3,6,225,1,0,70
2,13,358,1,1,200
5,6,24,1,0,42
1,6,53,1,1,120
2,327,351,1,1,229
1,33,180,0,2,119
1,30,140,1,0,129
2,327,356,1,1,227
1,12,63,0,0,54
3,8,340,0,0,62
3,6,90,1,0,85
3,10,349,2,0,45
1,6,360,2,0,71
2,7,10,2,1,150
1,5,178,0,1,250
1,6,337,1,1,190
1,7,340,0,0,75
1,7,313,2,2,36
1,5,365,4,0,140
1,7,248,0,0,42
15,12,153,1,0,70
1,8,0,1,0,250
1,17,83,0,2,30
1,7,319,4,2,28
1,8,364,0,0,169
1,34,365,0,2,36
4,6,79,0,0,50
1,7,312,0,0,60
2,327,329,1,1,188
3,9,357,2,0,69
1,5,147,0,1,330
2,8,362,0,0,50
1,6,360,0,0,75
3,28,60,0,0,349
3,7,245,0,0,75
2,5,339,0,0,89
1,9,265,2,0,55
5,7,0,0,0,44
3,13,90,0,0,57
2,327,350,1,1,229
1,8,174,2,0,52
1,6,28,0,2,39
1,10,226,1,0,99
1,5,346,0,2,38
5,10,356,0,0,40
1,20,359,1,0,149
1,11,306,1,2,250
2,12,365,1,0,749
1,12,158,1,1,3613
1,6,203,1,1,525
1,7,59,0,0,79
1,10,260,0,0,65
2,5,344,4,0,100
1,7,67,0,0,79
1,12,0,1,1,1145
2,6,0,2,0,75
1,6,154,1,1,120
2,5,355,3,0,55
1,30,175,1,0,179
1,5,15,1,0,80
1,10,120,1,0,119
1,5,336,2,0,50
2,5,354,3,1,149
1,5,253,1,0,92
2,7,57,2,0,45
2,8,327,2,0,62
1,5,84,1,0,75
1,15,305,0,0,45
1,9,349,1,2,60
1,8,365,0,0,149
2,327,328,1,1,227
2,5,31,0,2,38
1,8,143,1,1,309
1,5,148,0,0,59
1,5,57,4,0,142
1,5,330,4,0,69
3,13,74,0,0,189
2,5,348,0,0,65
2,327,325,1,1,211
3,34,365,0,2,38
7,13,116,0,0,35
3,12,365,1,0,499
3,5,83,0,0,89
1,6,174,1,2,75
1,14,349,1,0,375
7,5,365,2,0,140
3,7,320,0,0,110
2,8,104,0,0,60
2,5,344,2,0,50
3,49,190,1,1,699
2,13,363,4,0,75
2,7,324,2,1,399
3,5,132,1,0,87
3,5,262,2,1,88
1,5,56,1,1,165
1,6,7,2,0,35
2,34,310,0,0,60
1,6,163,2,0,80
1,10,358,2,0,89
2,327,267,1,1,468
5,5,295,0,0,33
3,10,75,4,0,58
1,6,325,0,0,40
1,7,308,2,1,220
1,10,112,2,0,70
4,5,55,2,0,50
1,33,187,1,1,179
1,5,87,2,0,73
1,6,265,2,1,229
4,5,84,0,1,125
1,6,347,2,0,95
4,7,322,3,0,33
5,5,29,4,0,75
1,18,355,2,0,165
2,5,167,0,0,58
1,5,15,2,0,40
1,6,83,2,0,45
1,15,359,0,0,70
1,30,362,1,0,199
7,9,365,0,0,70
1,6,177,0,1,249
3,7,339,1,0,120
1,34,365,0,2,36
2,327,262,1,1,520
1,15,358,1,0,100
